Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J39,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,177.679,-85.343,0.0,bottom
J4,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,100.699,-81.453,0.0,bottom
J40,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,172.679,-87.443,0.0,bottom
J41,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,95.699,-113.353,0.0,top
J42,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,100.699,-115.453,0.0,top
J43,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,105.699,-113.353,0.0,bottom
J44,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,100.699,-115.453,0.0,bottom
J45,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,113.699,-101.345,0.0,top
J46,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,118.699,-103.445,0.0,top
J47,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,123.699,-101.345,0.0,bottom
J48,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,118.699,-103.445,0.0,bottom
J49,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,131.699,-94.487,0.0,top
J5,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,113.699,-67.353,0.0,top
J50,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,136.699,-96.587,0.0,top
J51,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,141.699,-94.487,0.0,bottom
J52,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,136.699,-96.587,0.0,bottom
J53,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,149.699,-99.821,0.0,top
J54,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,154.699,-101.921,0.0,top
J55,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,159.699,-99.821,0.0,bottom
J56,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,154.699,-101.921,0.0,bottom
J57,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,167.679,-102.361,0.0,top
J58,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,172.679,-104.461,0.0,top
J59,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,177.679,-102.361,0.0,bottom
J6,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,118.699,-69.453,0.0,top
J60,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,172.679,-104.461,0.0,bottom
J61,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,170.228142,-114.126577,0.0,top
J62,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,165.942032,-110.804038,0.0,top
J63,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,160.568883,-111.538387,0.0,bottom
J64,3305-0-15-80-47-27-10-0,3305-0-15-80-47-27-10-0,165.942032,-110.804038,0.0,bottom
